Frame,QueueDensity,DynamicDensity
2869,0.136737,0.0326353
2870,0.137387,0.0326784
2871,0.137505,0.0308483
2872,0.137755,0.0331055
2873,0.137168,0.0270824
2874,0.13698,0.0242805
2875,0.136846,0.0141192
2876,0.136027,0.0213297
2877,0.135298,0.0264045
2878,0.134809,0.0270824
2879,0.134942,0.0308562
2880,0.136572,0.0284422
2881,0.137944,0.0245862
2882,0.140377,0.0296139
2883,0.141278,0.0310639
2884,0.141447,0.0332427
2885,0.141032,0.0521036
2886,0.141427,0.053577
2887,0.141502,0.0482867
2888,0.141682,0.0441603
2889,0.142642,0.0430356
2890,0.142321,0.0373378
2891,0.142007,0.0374397
2892,0.140373,0.0364521
2893,0.140448,0.0251583
2894,0.138555,0.0253817
2895,0.138335,0.0328782
2896,0.138183,0.0244059
2897,0.138018,0.0217921
2898,0.137638,0.0245548
2899,0.138288,0.0192645
2900,0.137548,0.0222467
2901,0.137223,0.0220704
2902,0.13707,0.0220821
2903,0.136396,0.021992
2904,0.135581,0.0261302
2905,0.135181,0.0218117
2906,0.135369,0.0236927
2907,0.135737,0.0249741
2908,0.135972,0.0259342
2909,0.135353,0.0255855
2910,0.135044,0.0422519
2911,0.13493,0.0425105
2912,0.134777,0.0385839
2913,0.134875,0.0362993
2914,0.135067,0.040073
2915,0.134961,0.0239043
2916,0.134542,0.0274038
2917,0.134252,0.0243354
2918,0.133645,0.0230775
2919,0.133527,0.0261537
2920,0.133711,0.0295434
2921,0.13377,0.0241473
2922,0.134428,0.0255972
2923,0.134558,0.0271451
2924,0.134687,0.0233635
2925,0.134186,0.0205851
2926,0.133919,0.0214159
2927,0.13408,0.0210828
2928,0.134511,0.0206243
2929,0.134871,0.0208085
2930,0.136811,0.0223682
2931,0.137685,0.0289203
2932,0.13843,0.0283325
2933,0.139241,0.0219136
2934,0.139358,0.0301351
2935,0.138782,0.0436313
2936,0.138857,0.0454809
2937,0.139754,0.0471699
2938,0.139664,0.038051
2939,0.140898,0.0373456
2940,0.141815,0.0378668
2941,0.142595,0.0295708
2942,0.142869,0.0287283
2943,0.142556,0.0296061
2944,0.142239,0.0277251
2945,0.142297,0.0323022
2946,0.143516,0.0413897
2947,0.143986,0.0396224
2948,0.145409,0.0363071
2949,0.146722,0.0377336
2950,0.147682,0.0273959
2951,0.150005,0.0266514
2952,0.150487,0.0367029
2953,0.150683,0.0252602
2954,0.153023,0.0204441
2955,0.155719,0.0224779
2956,0.156797,0.0256756
2957,0.1607,0.032165
2958,0.164916,0.0336071
2959,0.168522,0.027537
2960,0.17931,0.0261419
2961,0.182272,0.0277094
2962,0.183946,0.0208947
2963,0.189162,0.0225798
2964,0.193092,0.0278897
2965,0.195341,0.0251035
2966,0.19995,0.0278035
2967,0.205616,0.0287557
2968,0.21082,0.0311618
2969,0.216381,0.0313617
2970,0.221942,0.0321611
2971,0.224027,0.0359544
2972,0.231139,0.039979
2973,0.239259,0.0441133
2974,0.243185,0.0520918
2975,0.249067,0.0582286
2976,0.256431,0.0599567
2977,0.258805,0.0672103
2978,0.263575,0.0700945
2979,0.268857,0.0683781
2980,0.270863,0.0707646
2981,0.280311,0.0755651
2982,0.289368,0.0757297
2983,0.294262,0.0771247
2984,0.298788,0.0805536
2985,0.32823,0.0840413
2986,0.329343,0.0831988
2987,0.332439,0.0943163
2988,0.335965,0.0996066
2989,0.342768,0.0955781
2990,0.352546,0.100151
2991,0.363683,0.107883
2992,0.37018,0.109658
2993,0.379945,0.107181
2994,0.386886,0.109098
2995,0.389154,0.111802
2996,0.398826,0.121567
2997,0.427358,0.109556
2998,0.441611,0.120756
2999,0.46789,0.127194
3000,0.490811,0.128899
3001,0.505968,0.120239
3002,0.520903,0.149269
3003,0.537295,0.154755
3004,0.544344,0.154242
3005,0.556062,0.164959
3006,0.566764,0.184961
3007,0.575126,0.181003
3008,0.579049,0.209363
3009,0.583826,0.224865
3010,0.628206,0.229893
3011,0.629177,0.236645
3012,0.631513,0.222302
3013,0.630855,0.214339
3014,0.643152,0.229007
3015,0.67108,0.243851
3016,0.691654,0.251771
3017,0.709084,0.237554
3018,0.735481,0.271729
3019,0.744514,0.251187
3020,0.755243,0.218772
3021,0.761815,0.237864
3022,0.766086,0.282757
3023,0.774375,0.293596
3024,0.780394,0.280993
3025,0.783611,0.261913
3026,0.791978,0.243232
3027,0.798432,0.228028
3028,0.802076,0.201498
3029,0.813437,0.185748
3030,0.822849,0.182696
3031,0.827407,0.161448
3032,0.829405,0.1572
3033,0.83814,0.15666
3034,0.83825,0.160696
3035,0.868695,0.168522
3036,0.868836,0.170759
3037,0.868471,0.177221
3038,0.86864,0.167597
3039,0.864623,0.164681
3040,0.858424,0.166045
3041,0.84472,0.168298
3042,0.833771,0.15343
3043,0.83055,0.158188
3044,0.825573,0.165735
3045,0.825679,0.154328
3046,0.82252,0.165332
3047,0.821286,0.16628
3048,0.819432,0.163604
3049,0.817912,0.168051
3050,0.817344,0.162616
3051,0.815858,0.160034
3052,0.814867,0.161158
3053,0.812939,0.160535
3054,0.81261,0.152039
3055,0.811673,0.139488
3056,0.810717,0.144633
3057,0.811857,0.139793
3058,0.811493,0.065972
3059,0.810972,0.0912753
3060,0.818241,0.13801
3061,0.817833,0.15874
3062,0.818519,0.0805223
3063,0.819495,0.159269
3064,0.8183,0.179647
3065,0.816873,0.162001
3066,0.813609,0.177194
3067,0.812735,0.164376
3068,0.811207,0.192755
3069,0.811222,0.204656
3070,0.810905,0.205099
3071,0.811904,0.217851
3072,0.811669,0.219136
3073,0.811846,0.199217
3074,0.810074,0.149672
3075,0.812778,0.134766
3076,0.821642,0.149065
3077,0.821537,0.159167
3078,0.822516,0.163545
3079,0.823269,0.14892
3080,0.826972,0.13977
3081,0.830393,0.149543
3082,0.831177,0.145072
3083,0.832501,0.145687
3084,0.832427,0.145895
3085,0.842086,0.137532
3086,0.840711,0.121022
3087,0.837071,0.121618
3088,0.836502,0.109552
3089,0.834962,0.151134
3090,0.835327,0.1109
3091,0.835652,0.160135
3092,0.834997,0.170755
3093,0.83361,0.164861
3094,0.832819,0.186955
3095,0.830934,0.170979
3096,0.830197,0.171429
3097,0.829115,0.136133
3098,0.828849,0.129334
3099,0.82926,0.171359
3100,0.82834,0.150856
3101,0.828406,0.176951
3102,0.830334,0.178906
3103,0.82975,0.194758
3104,0.830307,0.172503
3105,0.830675,0.176249
3106,0.830334,0.175826
3107,0.83075,0.164035
3108,0.83129,0.156538
3109,0.831565,0.149147
3110,0.835013,0.165363
3111,0.834657,0.110798
3112,0.832764,0.0951118
3113,0.831725,0.0897078
3114,0.830123,0.12636
3115,0.829213,0.085793
3116,0.82821,0.0868863
3117,0.828539,0.0945004
3118,0.827528,0.0801578
3119,0.827579,0.0901585
3120,0.828441,0.08999
3121,0.828814,0.10541
3122,0.829343,0.0964285
3123,0.829836,0.0920708
3124,0.829829,0.0931681
3125,0.828904,0.0932974
3126,0.82834,0.0937167
3127,0.82736,0.0875839
3128,0.827811,0.0914321
3129,0.826866,0.0903152
3130,0.826533,0.103549
3131,0.825467,0.10483
3132,0.825154,0.105755
3133,0.823853,0.103851
3134,0.822324,0.0813256
3135,0.81879,0.0392579
3136,0.817124,0.0359662
3137,0.817461,0.0452419
3138,0.815035,0.0464919
3139,0.813295,0.0486864
3140,0.813201,0.0500658
3141,0.811062,0.051747
3142,0.809855,0.0565318
3143,0.809004,0.0649453
3144,0.808656,0.0630525
3145,0.80759,0.0611128
3146,0.806351,0.0656076
3147,0.804271,0.0671594
3148,0.80382,0.0772501
3149,0.803052,0.0762274
3150,0.802092,0.0790018
3151,0.802915,0.072869
3152,0.802343,0.0773834
3153,0.801786,0.0793388
3154,0.800897,0.0753221
3155,0.800391,0.0813648
3156,0.799533,0.0834222
3157,0.800842,0.0842333
3158,0.800383,0.0827207
3159,0.800011,0.0804047
3160,0.802766,0.0962325
3161,0.802664,0.0963187
3162,0.802672,0.0989521
3163,0.803659,0.0993989
3164,0.803514,0.103745
3165,0.803718,0.0971221
3166,0.803746,0.0982311
3167,0.804267,0.0883519
3168,0.804619,0.0924039
3169,0.804925,0.0928663
3170,0.803409,0.0860516
3171,0.803691,0.0884538
3172,0.80353,0.0937794
3173,0.803883,0.0905308
3174,0.804255,0.0918984
3175,0.804039,0.0895667
3176,0.803761,0.0854913
3177,0.803722,0.0968282
3178,0.803248,0.0926704
3179,0.803714,0.0899821
3180,0.80335,0.0882657
3181,0.802205,0.0914086
3182,0.800042,0.100731
3183,0.799008,0.102068
3184,0.79911,0.0971534
3185,0.801814,0.111986
3186,0.801014,0.106018
3187,0.800297,0.0910676
3188,0.79938,0.101213
3189,0.79811,0.103529
3190,0.797472,0.102996
3191,0.795881,0.108953
3192,0.794497,0.123385
3193,0.794325,0.117946
3194,0.793827,0.111868
3195,0.793463,0.118197
3196,0.794047,0.0843156
3197,0.79358,0.11322
3198,0.793729,0.113479
3199,0.793525,0.103929
3200,0.792659,0.113589
3201,0.792538,0.11161
3202,0.791449,0.0989678
3203,0.790986,0.0923765
3204,0.791057,0.0903818
3205,0.790743,0.0902329
3206,0.790994,0.0912832
3207,0.790167,0.0925136
3208,0.789262,0.0829166
3209,0.789317,0.0759883
3210,0.778709,0.113522
3211,0.779069,0.108906
3212,0.777098,0.0541531
3213,0.777525,0.0406961
3214,0.778164,0.0393912
3215,0.778493,0.0225171
3216,0.77778,0.0247273
3217,0.777325,0.0257109
3218,0.776933,0.0285128
3219,0.77711,0.0296296
3220,0.776048,0.0294023
3221,0.777067,0.0299157
3222,0.777999,0.0318868
3223,0.77633,0.0532596
3224,0.775903,0.0108706
3225,0.775699,0.00983604
3226,0.774998,0.00630134
3227,0.774661,0.0061054
3228,0.775009,0.00837827
3229,0.774966,0.00849191
3230,0.775205,0.013888
3231,0.775303,0.0158631
3232,0.774837,0.0222467
3233,0.774347,0.0278662
3234,0.77401,0.0326823
3235,0.779465,0.0491841
3236,0.779054,0.043498
3237,0.778466,0.0492586
3238,0.7795,0.0349983
3239,0.779626,0.0269335
3240,0.778015,0.0176187
3241,0.779598,0.018665
3242,0.779261,0.0157964
3243,0.778901,0.0152792
3244,0.77827,0.0224701
3245,0.77816,0.0236261
3246,0.778364,0.0146718
3247,0.776573,0.015479
3248,0.775915,0.0170857
3249,0.775264,0.0100751
3250,0.774817,0.0104317
3251,0.774578,0.0171954
3252,0.775056,0.0209692
3253,0.774825,0.0194017
3254,0.775437,0.0163725
3255,0.77506,0.0153027
3256,0.775209,0.0141114
3257,0.774535,0.011815
3258,0.774978,0.0109098
3259,0.773642,0.00925998
3260,0.775335,0.00897
3261,0.775766,0.0194291
3262,0.774845,0.0391404
3263,0.776142,0.0135353
3264,0.776702,0.0233479
3265,0.776428,0.00742993
3266,0.773889,0.0144366
3267,0.773755,0.00751223
3268,0.77285,0.0108353
3269,0.771835,0.00302919
3270,0.771483,0.00962835
3271,0.77218,0.0059173
3272,0.771385,0.00509828
3273,0.770914,0.00493369
3274,0.77169,0.00949903
3275,0.774449,0.0135784
3276,0.775989,0.0138606
3277,0.776397,0.0117131
3278,0.776036,0.0108314
3279,0.776789,0.0103141
3280,0.776902,0.00739075
3281,0.780123,0.0101848
3282,0.780989,0.0108823
3283,0.780417,0.0104121
3284,0.780739,0.0109137
3285,0.799811,0.0226895
3286,0.799611,0.0326823
3287,0.799439,0.0231127
3288,0.798475,0.0113722
3289,0.797119,0.0167369
3290,0.798965,0.00602702
3291,0.799306,0.00571352
3292,0.799447,0.00952646
3293,0.797319,0.00770816
3294,0.797401,0.0104905
3295,0.796711,0.0143896
3296,0.796692,0.00907972
3297,0.796523,0.00532557
3298,0.796562,0.00975375
3299,0.797221,0.00693617
3300,0.797142,0.0104513
3301,0.796731,0.00517666
3302,0.79668,0.00451439
3303,0.796668,0.00470641
3304,0.796876,0.0227796
3305,0.797072,0.0198759
3306,0.797221,0.0184377
3307,0.796805,0.0197387
3308,0.797499,0.0271686
3309,0.797891,0.0240767
3310,0.797385,0.0281601
3311,0.797103,0.0453398
3312,0.796919,0.0300489
3313,0.796304,0.0474755
3314,0.797248,0.0424909
3315,0.796406,0.0234497
3316,0.796441,0.0220821
3317,0.798777,0.0254718
3318,0.798969,0.0288027
3319,0.797852,0.0289673
3320,0.799545,0.0262242
3321,0.799141,0.0233048
3322,0.799615,0.0257971
3323,0.800034,0.0250133
3324,0.800399,0.0299666
3325,0.80007,0.033611
3326,0.800775,0.0345319
3327,0.80025,0.0355391
3328,0.800379,0.0306014
3329,0.800223,0.0273136
3330,0.799827,0.0285715
3331,0.800187,0.0317065
3332,0.800168,0.0313303
3333,0.799886,0.0330507
3334,0.799686,0.0332662
3335,0.793369,0.0537103
3336,0.793247,0.0460922
3337,0.792832,0.0449284
3338,0.793051,0.041523
3339,0.792072,0.0456141
3340,0.791229,0.0370399
3341,0.790547,0.0346926
3342,0.789987,0.0360328
3343,0.789685,0.0349865
3344,0.790296,0.0348415
3345,0.790136,0.0283952
3346,0.790128,0.0353274
3347,0.790093,0.037569
3348,0.789979,0.0360446
3349,0.790398,0.0363698
3350,0.790328,0.0330663
3351,0.79117,0.0329644
3352,0.792816,0.0330232
3353,0.793886,0.0367931
3354,0.794098,0.0351825
3355,0.793996,0.0344692
3356,0.793894,0.0330311
3357,0.793984,0.0315655
3358,0.793529,0.0321729
3359,0.793894,0.0274234
3360,0.79483,0.0263966
3361,0.795066,0.0419854
3362,0.795046,0.0423969
3363,0.794893,0.0321376
3364,0.794493,0.0346534
3365,0.794004,0.0300881
3366,0.793796,0.0237711
3367,0.793678,0.029128
3368,0.792793,0.0275135
3369,0.793294,0.0258833
3370,0.793435,0.0237162
3371,0.793239,0.0210711
3372,0.793087,0.0176147
3373,0.792757,0.0194174
3374,0.793106,0.0153967
3375,0.79454,0.0133433
3376,0.794055,0.0183044
3377,0.794117,0.0161962
3378,0.79545,0.0171092
3379,0.796394,0.0173835
3380,0.795583,0.0168663
3381,0.795888,0.0147031
3382,0.796033,0.0152753
3383,0.794529,0.0139194
3384,0.794776,0.0125517
3385,0.792926,0.0257265
3386,0.792989,0.0216628
3387,0.792561,0.0160943
3388,0.793404,0.0171053
3389,0.792734,0.0380431
3390,0.791699,0.0100516
3391,0.791978,0.0224152
3392,0.792518,0.0193938
3393,0.791868,0.0187669
3394,0.792126,0.0189706
3395,0.792162,0.015624
3396,0.791119,0.0209613
3397,0.791762,0.0156554
3398,0.791288,0.0144876
3399,0.791821,0.0185004
3400,0.792832,0.0183867
3401,0.792851,0.0152517
3402,0.792891,0.012779
3403,0.792765,0.0158278
3404,0.792793,0.0133668
3405,0.792687,0.0164626
3406,0.792444,0.0170975
3407,0.792134,0.0115603
3408,0.792158,0.0127006
3409,0.792365,0.0140644
3410,0.790151,0.0258598
3411,0.789975,0.0191195
3412,0.790575,0.0235751
