Frame,QueueDensity,DynamicDensity
6,0.0203657,0.0143504
7,0.0268982,0.0190804
8,0.0321415,0.0329096
9,0.0353941,0.0358722
10,0.0384977,0.0417346
11,0.0408372,0.0457827
12,0.0416014,0.0528325
13,0.0433452,0.0631152
14,0.0454456,0.0534438
15,0.0458218,0.0674259
16,0.0469622,0.0668106
17,0.0481339,0.0682645
18,0.0490156,0.0523936
19,0.0499091,0.0494506
20,0.0500893,0.0562261
21,0.0506419,0.0678452
22,0.0515902,0.0756121
23,0.0499757,0.0635894
24,0.0481731,0.0660621
25,0.0459903,0.0643771
26,0.044799,0.0685701
27,0.0443562,0.0652862
28,0.0434902,0.0497053
29,0.0433334,0.0659407
30,0.0419658,0.0500227
31,0.0400535,0.0479105
32,0.0385173,0.052374
33,0.0375964,0.046006
34,0.0356566,0.0642007
35,0.0332309,0.0619866
36,0.0332231,0.0651412
37,0.0318554,0.0618808
38,0.0310325,0.0616692
39,0.0304917,0.062739
40,0.0286186,0.0650041
41,0.028258,0.0558068
42,0.0278622,0.0591025
43,0.026522,0.0547683
44,0.0256442,0.052374
45,0.0248762,0.0453829
46,0.0237162,0.0451204
47,0.0225014,0.0419384
48,0.0220233,0.0333093
49,0.0213689,0.0321258
50,0.0205185,0.0313852
51,0.0202325,0.0255659
52,0.0194134,0.0272901
53,0.0185827,0.0252093
54,0.0183123,0.0245039
55,0.0176304,0.0219528
56,0.0166194,0.0230735
57,0.0158513,0.0221213
58,0.0142642,0.0171837
59,0.0132845,0.0204833
60,0.0126771,0.0289673
61,0.0118072,0.0293827
62,0.0107726,0.0172816
63,0.0101691,0.0276075
64,0.00943241,0.0252641
65,0.00857812,0.0142211
66,0.00833516,0.0246646
67,0.00768857,0.0205146
68,0.0069636,0.0119091
69,0.00647768,0.010514
70,0.0056038,0.00960875
71,0.00483965,0.00984388
72,0.00455358,0.00811179
73,0.00379334,0.00727318
74,0.00286068,0.0067128
75,0.002363,0.00553718
76,0.00146953,0.0046202
77,0.000705373,0.00417346
78,0.000462411,0.00236692
79,0.000333093,0.00208085
80,0.00107374,0.00309189
81,0.00171641,0.00278231
82,0.00295081,0.0037424
83,0.00425967,0.00520801
84,0.00605054,0.00641106
85,0.0120109,0.0147697
86,0.0178851,0.0186885
87,0.0207223,0.0226268
88,0.0262791,0.0257775
89,0.0321729,0.0311109
90,0.0346221,0.0372202
91,0.0393716,0.0407392
92,0.0446972,0.0432786
93,0.0467545,0.0428945
94,0.04755,0.0529383
95,0.04842,0.0581933
96,0.0491763,0.0574762
97,0.050058,0.061485
98,0.0505792,0.0516568
99,0.0512571,0.0420011
100,0.0514648,0.0469818
101,0.0525425,0.0389876
102,0.0526169,0.0611363
103,0.0530754,0.0661092
104,0.053385,0.0571862
105,0.0535261,0.0658192
106,0.0532243,0.0755377
107,0.0545881,0.0748558
108,0.056426,0.070698
109,0.0604113,0.0688405
110,0.0653254,0.0680293
111,0.0671045,0.0420246
112,0.0707764,0.044125
113,0.0729474,0.04572
114,0.0743777,0.0532204
115,0.0744835,0.0669517
116,0.076098,0.0627939
117,0.0772384,0.0674768
118,0.0787902,0.0813021
119,0.0786726,0.0755612
120,0.0776459,0.0949315
