Frame,QueueDensity,DynamicDensity
6,0.0418012,0.0373025
7,0.0414211,0.040798
8,0.0411076,0.0380941
9,0.0407549,0.037373
10,0.0402298,0.0327724
11,0.0404218,0.0330036
12,0.0403003,0.0416758
13,0.0399712,0.0386701
14,0.0399241,0.0421657
15,0.0396655,0.0406295
16,0.039834,0.0415426
17,0.0399829,0.0403238
18,0.0398222,0.0384468
19,0.0397635,0.0377531
20,0.039062,0.0329449
21,0.0391443,0.0124773
22,0.0391952,0.0160904
23,0.0392658,0.0141231
24,0.0393285,0.0131826
25,0.0393677,0.0139899
26,0.0393833,0.0092012
27,0.0393442,0.0129318
28,0.0393755,0.0225406
29,0.0394421,0.0169054
30,0.0394774,0.020205
31,0.0395636,0.00967145
32,0.0396146,0.00468681
33,0.0397125,0.00502383
34,0.0397125,0.00381293
35,0.0397008,0.00218666
36,0.0397047,0.00249624
37,0.0396773,0.00858988
38,0.0400221,0.00487883
39,0.0401357,0.00724575
40,0.040367,0.0153536
41,0.0403003,0.0223682
42,0.0403238,0.0346691
43,0.040414,0.0302213
44,0.0406569,0.0328508
45,0.0412095,0.0270863
46,0.0411115,0.0248958
47,0.0411664,0.0267493
48,0.0412056,0.0343164
49,0.0410527,0.0215883
50,0.0411233,0.0187512
51,0.041135,0.0196172
52,0.041182,0.0214786
53,0.0410253,0.0136372
54,0.0410958,0.0121246
55,0.0408098,0.0106041
56,0.040559,0.0160786
57,0.040461,0.0210319
58,0.0404179,0.0104356
59,0.0408294,0.00252367
60,0.0408372,0.00839786
61,0.0406491,0.00559204
62,0.0407314,0.0069636
63,0.0405864,0.00481221
64,0.0406804,0.00769641
65,0.0407236,0.0090327
66,0.0409195,0.00762195
67,0.0408607,0.00682253
68,0.0408372,0.0105924
69,0.0408019,0.0136137
70,0.0404806,0.0294219
71,0.0404884,0.030719
72,0.0405159,0.0298882
73,0.0404845,0.0330703
74,0.0405198,0.0352177
75,0.0404218,0.0035347
76,0.0403278,0.00231598
77,0.0402416,0.00318594
78,0.0402024,0.00309581
79,0.0399202,0.0191352
80,0.0401161,0.0143504
81,0.0399359,0.015338
82,0.0399751,0.0210045
83,0.0401044,0.0216314
84,0.0401044,0.0101652
85,0.0401005,0.0204754
86,0.0403395,0.00485924
87,0.0404022,0.0105767
88,0.040363,0.0135784
89,0.0403983,0.017842
90,0.0403474,0.0163999
91,0.0405041,0.0112546
92,0.0404101,0.00419305
93,0.0403591,0.00414211
94,0.0402964,0.00307229
95,0.0403121,0.00626999
96,0.0404414,0.00851151
97,0.0405511,0.0271726
98,0.0406844,0.0241081
99,0.0407275,0.022568
100,0.0407196,0.0235634
101,0.0405394,0.0161295
102,0.0405002,0.026185
103,0.040555,0.0233165
104,0.0404963,0.0189393
105,0.0405864,0.0206949
106,0.0406021,0.0155692
107,0.0407,0.009452
108,0.0407079,0.0211769
109,0.0406138,0.0211965
110,0.0406961,0.0171092
111,0.0407627,0.0190647
112,0.0407118,0.0201698
113,0.0407118,0.0185396
114,0.0406961,0.0135197
115,0.0407118,0.0109019
116,0.040704,0.0109764
117,0.0406569,0.00260204
118,0.0406569,0.00438507
119,0.0406373,0.00503558
120,0.0405198,0.0286068
121,0.0404336,0.0200365
122,0.0404728,0.0205812
123,0.0405198,0.0236065
124,0.0405433,0.0201658
125,0.0405786,0.0234497
126,0.0405355,0.0107138
127,0.040508,0.00610932
128,0.0404767,0.00370713
129,0.0404924,0.00433413
130,0.0404806,0.00365227
131,0.0404806,0.00450263
132,0.0404571,0.00352687
133,0.0404532,0.00385996
134,0.0404767,0.00301743
135,0.0404845,0.00252759
136,0.0404767,0.00894649
137,0.0404728,0.0117014
138,0.0405315,0.00963227
139,0.0405315,0.0101064
140,0.0405394,0.010898
141,0.0405433,0.0108588
142,0.0405472,0.00854286
143,0.0405041,0.00783356
144,0.0404884,0.0157886
145,0.0405511,0.0175677
146,0.0405237,0.0172856
147,0.0404453,0.013841
148,0.0404022,0.0249976
149,0.0403905,0.0225171
150,0.040367,0.0172385
151,0.0404375,0.0177558
152,0.0404571,0.0225602
153,0.0404571,0.0260361
154,0.0404728,0.0114427
155,0.0404845,0.0108588
156,0.0405119,0.0101966
157,0.0405355,0.0043498
158,0.0404884,0.00556461
159,0.040508,0.00569785
160,0.0404963,0.00587419
161,0.0404924,0.0117405
162,0.040461,0.0348768
163,0.0404688,0.0319142
164,0.0404257,0.0322473
165,0.0404728,0.0290496
166,0.0404375,0.0262164
167,0.0404767,0.0118659
168,0.0404728,0.0140408
169,0.0404728,0.017266
170,0.0407353,0.0216432
171,0.0407706,0.0209927
172,0.0407431,0.0196094
173,0.0407196,0.0167056
174,0.0407157,0.0224387
175,0.0407196,0.016925
176,0.0407706,0.014468
177,0.0407745,0.0117719
178,0.0408098,0.00695185
179,0.0407392,0.00571352
180,0.0407941,0.00810004
181,0.040798,0.0141388
182,0.0407667,0.0104434
183,0.0408176,0.0100163
184,0.040798,0.0153928
185,0.0408137,0.012152
186,0.0407941,0.00566258
187,0.0408725,0.00804518
188,0.0409195,0.0097655
189,0.0409352,0.00780221
190,0.0409744,0.00648552
191,0.0409626,0.00610932
192,0.0409783,0.00582325
193,0.0410096,0.00515314
194,0.0410253,0.00315067
195,0.0411742,0.0300097
196,0.0411703,0.0278936
197,0.0411585,0.0251387
198,0.0412369,0.0244373
199,0.0412683,0.0236026
200,0.0412683,0.0164587
201,0.0412016,0.00715954
202,0.0411703,0.00509436
203,0.041186,0.00623472
204,0.041186,0.0124302
205,0.041186,0.00905621
206,0.0412095,0.0135628
207,0.0412134,0.0138332
208,0.0412722,0.0074848
209,0.0412722,0.00691658
210,0.0412879,0.00543529
211,0.0413114,0.0137744
212,0.0413035,0.00826462
213,0.0412683,0.00567826
214,0.0412996,0.00492978
215,0.0413192,0.00628566
216,0.0412722,0.0056665
217,0.0412487,0.0114976
218,0.0412839,0.0179713
219,0.041327,0.016925
220,0.0419305,0.0220351
221,0.0418913,0.00692833
