Frame,QueueDensity,DynamicDensity
6,0.0824229,0.100947
7,0.0863377,0.101844
8,0.0912244,0.103286
9,0.0937363,0.0441172
10,0.0972984,0.112401
11,0.0998182,0.050395
12,0.100837,0.048561
13,0.1026,0.0553601
14,0.104689,0.106978
15,0.10503,0.0666695
16,0.106649,0.0648865
17,0.108447,0.0670066
18,0.108976,0.0509985
19,0.109901,0.0539689
20,0.110305,0.0685466
21,0.111022,0.0723008
22,0.111931,0.0732334
23,0.112527,0.0712819
24,0.11244,0.0717169
25,0.114325,0.0682214
26,0.116782,0.077838
27,0.118048,0.0796131
28,0.120823,0.0683546
29,0.124518,0.0960875
30,0.124961,0.0809142
31,0.126528,0.0659603
32,0.127653,0.0775323
33,0.127935,0.0783787
34,0.128609,0.105375
35,0.128413,0.114063
36,0.129315,0.101762
37,0.129362,0.0932229
38,0.13049,0.106347
39,0.131239,0.100304
40,0.131615,0.109102
41,0.132775,0.116669
42,0.133398,0.109925
43,0.134409,0.121853
44,0.13533,0.117409
45,0.136611,0.124385
46,0.136917,0.133766
47,0.137395,0.125862
48,0.137661,0.126125
49,0.138994,0.11451
50,0.139386,0.100951
51,0.140553,0.10813
52,0.141039,0.112433
53,0.141482,0.102655
54,0.141776,0.0841314
55,0.142419,0.0836769
56,0.142352,0.0966714
57,0.142497,0.0842177
58,0.143159,0.0811062
59,0.143449,0.0769366
60,0.143959,0.0823994
61,0.145197,0.0799306
62,0.146298,0.0819291
63,0.14669,0.0486277
64,0.148042,0.0552542
65,0.14892,0.0515589
66,0.150186,0.0539728
67,0.151303,0.0549486
68,0.152165,0.048514
69,0.152553,0.0443366
70,0.151589,0.0447834
71,0.15238,0.0469896
72,0.153587,0.0491606
73,0.154931,0.0500502
74,0.155754,0.0490039
75,0.15575,0.0464645
76,0.156033,0.0472718
77,0.155362,0.0492743
78,0.155582,0.0556265
79,0.15481,0.0608306
80,0.15635,0.046586
81,0.157145,0.0636991
82,0.158047,0.0700984
83,0.159587,0.0610266
84,0.161284,0.0665755
85,0.166754,0.0868275
86,0.172769,0.078751
87,0.175371,0.0805184
88,0.181261,0.0882069
89,0.18683,0.086659
90,0.188919,0.0912205
91,0.194687,0.0954723
92,0.198712,0.0979685
93,0.200056,0.0674533
94,0.200408,0.075424
95,0.200283,0.0837631
96,0.201662,0.0839394
97,0.202905,0.0900292
98,0.203865,0.090566
99,0.204715,0.0879679
100,0.205722,0.0874036
101,0.207196,0.0567473
102,0.207587,0.0830851
103,0.208943,0.084923
104,0.208434,0.0680411
105,0.208309,0.0826658
106,0.207513,0.0987719
107,0.207991,0.104866
108,0.208818,0.107272
109,0.211001,0.0902995
110,0.214539,0.0910519
111,0.216585,0.0670183
112,0.220453,0.0598353
113,0.224324,0.0861653
114,0.226088,0.0673044
115,0.228396,0.0792213
116,0.230379,0.0749773
117,0.231903,0.0799893
118,0.234298,0.0900448
119,0.23485,0.084539
120,0.233533,0.107495
121,0.234015,0.115799
122,0.234235,0.11023
123,0.233831,0.121689
124,0.23494,0.121614
125,0.235963,0.122347
126,0.236688,0.121066
127,0.238181,0.127449
128,0.240164,0.13116
129,0.241124,0.124009
130,0.242464,0.103804
131,0.243072,0.117343
132,0.243742,0.120995
133,0.245137,0.115944
134,0.24587,0.120333
135,0.246669,0.119635
136,0.248668,0.128593
137,0.250658,0.11813
138,0.252347,0.127806
139,0.253194,0.13096
140,0.254526,0.132418
141,0.254663,0.134248
142,0.253958,0.12855
143,0.25433,0.128719
144,0.254365,0.130757
145,0.254013,0.124636
146,0.252739,0.142337
147,0.252339,0.117711
148,0.250251,0.0905739
149,0.249067,0.126944
150,0.247829,0.0966126
151,0.246975,0.0936383
152,0.245603,0.0988424
153,0.245031,0.0967733
154,0.243616,0.0998848
155,0.242045,0.102495
156,0.241571,0.101742
157,0.239408,0.0991598
158,0.238146,0.0957662
159,0.237409,0.0972083
160,0.236516,0.0894022
161,0.235767,0.0959896
162,0.235015,0.0964716
163,0.233686,0.0905621
164,0.23215,0.0952137
165,0.231754,0.0939322
166,0.231739,0.10186
167,0.231464,0.0946689
168,0.231366,0.087431
169,0.230665,0.0930505
170,0.230097,0.0993048
171,0.229775,0.0978196
172,0.229195,0.0958054
173,0.228682,0.0964167
174,0.228541,0.094328
175,0.228784,0.0787589
176,0.228784,0.0839159
177,0.228086,0.0767877
178,0.227836,0.0832537
179,0.227632,0.0864082
180,0.22802,0.0899547
181,0.228004,0.0878738
182,0.227597,0.0863847
183,0.227334,0.0814197
184,0.227546,0.0805576
185,0.226805,0.080777
186,0.226491,0.0835005
187,0.225304,0.0760628
188,0.225045,0.0768739
189,0.225367,0.0692912
190,0.225359,0.0723556
191,0.225465,0.0705491
192,0.225449,0.0657134
193,0.224873,0.0643575
194,0.224842,0.054302
195,0.226252,0.0469622
196,0.226535,0.0382156
197,0.226828,0.0489451
198,0.227068,0.0320906
199,0.226738,0.0265926
200,0.226821,0.0149226
201,0.226891,0.0145072
202,0.226958,0.0178499
203,0.227138,0.0133355
204,0.227436,0.0144993
205,0.227585,0.0189785
206,0.227111,0.015965
207,0.226797,0.0138214
208,0.226484,0.0129671
209,0.226374,0.0126144
210,0.226523,0.0129083
211,0.227056,0.0146992
212,0.227024,0.019629
213,0.227009,0.0226346
214,0.226605,0.0215296
215,0.226554,0.01852
216,0.226241,0.0181947
217,0.225904,0.0138332
218,0.225817,0.0163294
219,0.226064,0.013069
220,0.226096,0.0466957
221,0.226256,0.034579
222,0.226115,0.0351589
223,0.226006,0.0269178
224,0.225974,0.020064
225,0.225688,0.0195859
226,0.225653,0.0188962
227,0.225849,0.0182182
228,0.225782,0.0181085
229,0.225292,0.0250055
230,0.225535,0.0195192
231,0.225426,0.0172111
232,0.225422,0.0168232
233,0.225821,0.0160198
234,0.225821,0.0202325
235,0.226256,0.0229442
236,0.226264,0.0180066
237,0.225868,0.020013
238,0.225316,0.0186885
239,0.224415,0.0186375
240,0.223631,0.0141114
241,0.2234,0.0149226
242,0.224708,0.0185905
243,0.224669,0.00939714
244,0.225332,0.0133198
245,0.223748,0.0233949
246,0.223948,0.0157612
247,0.224187,0.0136568
248,0.224074,0.00921688
249,0.223862,0.00851934
250,0.223537,0.0159454
251,0.223533,0.0153928
252,0.223286,0.0122774
253,0.222878,0.0128182
254,0.222569,0.0059604
255,0.222663,0.00474168
256,0.222749,0.00755141
257,0.222792,0.00821368
258,0.222929,0.00411076
259,0.223043,0.00845272
260,0.223094,0.00827638
261,0.222996,0.00878582
262,0.222827,0.0126654
263,0.223086,0.0157808
264,0.223349,0.0232029
265,0.223321,0.0214747
266,0.223223,0.013935
267,0.223114,0.0145229
268,0.222969,0.0135628
269,0.223039,0.0141114
270,0.222048,0.0254405
271,0.221997,0.0282502
272,0.221781,0.0234497
