Frame,QueueDensity,DynamicDensity
6,0.0675277,0.026526
7,0.0727632,0.0399516
8,0.0763763,0.0517587
9,0.0782886,0.0606072
10,0.0806163,0.0348415
11,0.0814589,0.0482515
12,0.081596,0.0465546
13,0.0815333,0.0571274
14,0.0822896,0.0628174
15,0.0821251,0.0677237
16,0.0826619,0.0675865
17,0.082705,0.0598039
18,0.0828108,0.0253072
19,0.0829637,0.0255032
20,0.0822387,0.0277329
21,0.0820937,0.0265534
22,0.0820428,0.0209849
23,0.081596,0.0307895
24,0.0810356,0.0216941
25,0.0804713,0.0204519
26,0.0798639,0.02479
27,0.0796602,0.0325177
28,0.079331,0.0204715
29,0.0799893,0.0241473
30,0.0795309,0.0250408
31,0.0797856,0.0243432
32,0.0797425,0.0246802
33,0.0797385,0.0254209
34,0.0794799,0.0260244
35,0.0788333,0.0206008
36,0.0792291,0.027439
37,0.0788294,0.0232068
38,0.0790214,0.0308954
39,0.0789783,0.0190568
40,0.0789234,0.0353431
41,0.0793192,0.0283325
42,0.0795896,0.0278074
43,0.0799188,0.0263457
44,0.0805145,0.0311618
45,0.0816509,0.0389053
46,0.0817959,0.0328547
47,0.0816391,0.0324393
48,0.0818468,0.0297589
49,0.0827207,0.0250917
50,0.0829441,0.0236731
51,0.0835162,0.0177715
52,0.0836299,0.0183162
53,0.0835828,0.0195271
54,0.0839238,0.021028
55,0.0842725,0.0225759
56,0.0838258,0.0203931
57,0.083669,0.0200052
58,0.0836416,0.0232499
59,0.0838101,0.0226699
60,0.0840374,0.0250447
61,0.0842686,0.0242688
62,0.084006,0.0262634
63,0.0839002,0.0242923
64,0.0841314,0.0267885
65,0.0839629,0.0273058
66,0.0844214,0.0263888
67,0.084202,0.0257892
68,0.0839434,0.0274978
69,0.0837866,0.0266396
70,0.0827873,0.0433805
71,0.0827089,0.0350257
72,0.0829049,0.0404845
73,0.0828148,0.0365893
74,0.082803,0.0308875
75,0.0827168,0.0261302
76,0.0823563,0.0251701
77,0.0821995,0.0137705
78,0.0821956,0.012685
79,0.0818664,0.0321494
80,0.0820114,0.00713995
81,0.0818978,0.0173953
82,0.0819134,0.029512
83,0.0821799,0.0282698
84,0.0822348,0.00953822
85,0.0822191,0.0381725
86,0.082419,0.0048083
87,0.082466,0.00737507
88,0.0824072,0.028211
89,0.0824817,0.0162432
90,0.0824033,0.0124263
91,0.0826815,0.0322199
92,0.0825679,0.0273097
93,0.0824503,0.0205499
94,0.0824307,0.0207223
95,0.0810082,0.029994
96,0.0815216,0.0286578
97,0.0816862,0.0341479
98,0.0818938,0.0280778
99,0.0819526,0.0259068
100,0.0819409,0.0237672
101,0.0818155,0.0216393
102,0.0818351,0.0172542
103,0.0820075,0.0442779
104,0.0819174,0.0308091
105,0.0820741,0.0408098
106,0.0820624,0.0268434
107,0.0829597,0.00505518
108,0.0846566,0.00391874
109,0.0878425,0.0054157
110,0.0910951,0.00522368
111,0.0928036,0.00581541
112,0.0960758,0.00911499
113,0.0986661,0.00822152
114,0.1001,0.0087819
115,0.101723,0.00967145
116,0.103788,0.014178
117,0.104999,0.0177558
118,0.107291,0.0240963
119,0.108428,0.020303
120,0.109474,0.0199934
121,0.110258,0.0265965
122,0.111202,0.029657
123,0.111245,0.029516
124,0.112393,0.0307347
125,0.11313,0.0322081
126,0.11331,0.0258754
127,0.113726,0.0284579
128,0.114976,0.0253621
129,0.115544,0.0288341
130,0.116994,0.0328978
131,0.11826,0.0378119
132,0.118781,0.0377453
133,0.119494,0.0306171
134,0.119839,0.0244961
135,0.120309,0.0340303
136,0.121242,0.0451713
137,0.122022,0.0404884
138,0.122523,0.0426908
139,0.122778,0.0426594
140,0.123444,0.0390189
141,0.123766,0.0450851
142,0.123472,0.0439173
143,0.123107,0.0479928
144,0.122625,0.0491097
145,0.122425,0.0517235
146,0.121967,0.0465311
147,0.121794,0.0529539
148,0.120948,0.0438664
149,0.120356,0.0344065
150,0.120086,0.0303938
151,0.119243,0.0232734
152,0.117778,0.0321689
153,0.117711,0.0222584
154,0.116814,0.0307308
155,0.116183,0.0228815
156,0.115803,0.0400299
157,0.114639,0.0410606
158,0.113879,0.0283207
159,0.113318,0.0370987
160,0.112703,0.029465
161,0.112107,0.0393285
162,0.111551,0.0371066
163,0.111112,0.0386035
164,0.110175,0.0383762
165,0.109932,0.0398928
166,0.109497,0.0368322
167,0.109113,0.0378981
168,0.109239,0.0355939
169,0.108784,0.0344732
170,0.10889,0.0508731
171,0.108776,0.0391757
172,0.10842,0.0380353
173,0.108306,0.0340186
174,0.108439,0.0323884
175,0.108373,0.0279289
176,0.108267,0.0328822
177,0.107844,0.0289086
