Frame,Queue_base_M1,Dynamic_base_M1
41,0.004052,5.100000000000937e-05
42,0.003394000000000008,0.0011989999999999917
43,0.002578999999999998,0.01185
44,0.002026,0.003255999999999995
45,0.0006940000000000002,0.007606000000000002
46,0.0010150000000000159,0.020193000000000003
47,0.0004200000000000037,0.013256999999999991
48,0.00022800000000000598,0.010714000000000001
49,0.0010379999999999834,0.0072339999999999904
50,0.001351999999999992,0.00486700000000001
51,0.004270999999999997,0.04283200000000001
52,0.004401000000000016,0.044258000000000006
53,0.003977000000000008,0.044611
54,0.003820999999999991,0.0762821
55,0.0030050000000000077,0.0753494
56,0.003157999999999994,0.0597215
57,0.002845000000000014,0.07880960000000001
58,0.002244999999999997,0.0813647
59,0.0020100000000000118,0.0777829
60,0.001599000000000017,0.0811844
61,0.004468,0.05962780000000001
62,0.00359000000000001,0.05734710000000001
63,0.0033470000000000166,0.0917733
64,0.00171300000000002,0.0832108
65,0.0010430000000000161,0.0896924
66,0.00022700000000000498,0.08381430000000001
67,0.0011789999999999856,0.0942381
68,0.0017039999999999833,0.0956019
69,0.0021509999999999863,0.094391
70,0.0008739999999999859,0.09120900000000001
71,0.0018340000000000023,0.1273437
72,0.0008080000000000032,0.135048
73,0.0004969999999999974,0.1360943
74,0.0012729999999999964,0.1284253
75,0.0011710000000000054,0.13716799999999998
76,0.0016100000000000003,0.1375442
77,0.0012420000000000209,0.12892689999999998
78,0.0012260000000000049,0.13717189999999999
79,0.0005170000000000174,0.1326811
80,0.002249000000000001,0.12925609999999998
81,0.003796999999999995,0.12318910000000001
82,0.005265999999999993,0.11187960000000001
83,0.006848999999999994,0.11211480000000001
84,0.008902999999999994,0.11388210000000001
85,0.014839999999999992,0.09329300000000001
86,0.021030999999999994,0.10072690000000001
87,0.023735000000000006,0.09436290000000001
88,0.029965999999999993,0.09293250000000002
89,0.035640000000000005,0.08517730000000001
90,0.037968,0.08716410000000001
91,0.0012889999999999846,0.1059821
92,0.005333000000000004,0.0986305
